Month,Quarter,Date,Category,Vendor,Amount,Notes,Receipt Image,Receipt File
,,,,,,,,
1,Q1,1/1/2025,Rent,Gyongyi Petrak,2600,Jan rent,,
1,Q1,1/1/2025,Vehicle,Summit CU,495.99,Jan car payment,,
4,Q2,4/4/2025,Equipment,OfficeSupply,81.33,Paper shredder,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/ONgIGKu0mWYkMuUeutD7.pdf
1,Q1,1/28/2025,Software,Glide,1188,Glide subscription for app creation,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/4LInyyVpk53hGJyGaiWX.pdf
2,Q1,2/1/2025,Rent,Gyongyi Petrak,2600,Feb rent,,
4,Q2,4/26/2025,Software,Microsoft,105.49,Microsoft365 subscription ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/NGHWHzTJCBWWOXn0P95U.png,
1,Q1,1/19/2025,Software,Adobe,63.29,Creative Cloud subscription ,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/NxeGkah652bS5jDLvyfE.pdf
2,Q1,2/19/2025,Software,Adobe,63.29,Creative Cloud subscription ,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/xWaQFAg7mGpZSTwKLpQG.pdf
3,Q1,3/19/2025,Software,Adobe,63.29,Creative Cloud subscription ,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/1kw1lK0HB7MBYjRatSx8.pdf
4,Q2,4/22/2025,Software,Adobe,63.29,Creative Cloud subscription ,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/bY32gH6vOWdmd8k9HFFA.pdf
4,Q2,4/25/2025,Software,Adobe,105.49,Adobe Express subscription ,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/M6yZD2xdvDved4dnXZp0.pdf
2,Q1,2/1/2025,Vehicle,Summit CU,495.99,Feb car payment,,
3,Q1,3/1/2025,Vehicle,Summit CU,495.99,Mar car payment,,
4,Q2,4/1/2025,Vehicle,Summit CU,495.99,April car payment ,,
3,Q1,3/1/2025,Rent,Gyongyi Petrak,2600,Mar rent,,
4,Q2,4/1/2025,Rent,Gyongyi Petrak,2600,Apr rent,,
1,Q1,1/26/2025,Utilities,Spectrum,21.11,Jan phone bill,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/BWlkGZ6Jkq6ypxWtLHyx.pdf
2,Q1,2/26/2025,Utilities,Spectrum ,21.11,Feb phone bill,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/1VEJaDTUlAoIK0aBlJdY.pdf
3,Q1,3/26/2025,Utilities,Spectrum ,21.11,Mar phone bill,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/6Nmnsy4jP4sle1CTsj7k.pdf
4,Q2,4/26/2025,Utilities,Spectrum ,51.11,Apr phone bill,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/pQkRZ8GCaWTJKX9UBX7Y.pdf
1,Q1,1/2/2025,Utilities,Spectrum ,59.99,Jan internet,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/zTwBt0ThrvPI5ScLtAvj.pdf
2,Q1,2/2/2025,Utilities,Spectrum ,59.99,Feb internet,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/0ZG7HTeyzZro1U5CTrsu.pdf
3,Q1,3/2/2025,Utilities,Spectrum ,59.99,Mar internet ,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/t1xMyFTPm1SvTmdPyOx2.pdf
4,Q2,4/2/2025,Utilities,Spectrum ,59.99,Apr internet,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/JyVpIjACIVt5dEcmkaxI.pdf
5,Q2,5/2/2025,Utilities,Spectrum ,59.99,May internet,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/vTaWfGMgSgO8qmbVUcbI.pdf
5,Q2,5/1/2025,Rent,Gyongyi Petrak ,2700,May rent,,
5,Q2,5/1/2025,Vehicle,Summit CU,495.99,May car payment,,
1,Q1,1/15/2025,Utilities,Madison Municipal Services ,70.44,Jan water bill,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/KzYctH40DZsKlMWRjdYW.png,
3,Q1,3/1/2025,Utilities,Madison Municipal Services ,70.88,Feb water bill,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/5kTK5AAALiACcg7VaQ4o.png,
3,Q1,3/25/2025,Utilities,Madison Municipal Services ,66.31,Mar water bill,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/NxMYXMp3qWc59yEnDcuY.png,
4,Q2,4/24/2025,Utilities,Madison Municipal Services,73.44,Apr water bill,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/Gv3hXPXEMWZDMEpzctNT.png,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/RCsZCPG9ORxbgYlhC2sm.png
4,Q2,4/16/2025,Meals,Green Lantern,17.63,Team Women networking breakfast (incl card fee + tip),https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/gHNcxLbjAJ2JNYqEzar5.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/DVx8E6DTPA5Xqz71VCKT.png
4,Q2,4/2/2025,Meals,Green Lantern,19.45,Team Women networking breakfast (incl card fee + tip),https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/v3js2q6CoVvfC6H117wY.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/flK3CbsqTVMhqYhYbJZR.png
1,Q1,1/7/2025,Software,Google,1.99,Google storage,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/lMeEPhL2Iz78jJ83ZT7L.png,
2,Q1,2/7/2025,Software,Google,1.99,Google storage,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/OPXAeYUc00HkjpMShpXB.png,
3,Q1,3/7/2025,Software,Google,1.99,Google storage,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/kh9EiH3WmuYRaXDySHPb.png,
1,Q1,1/10/2025,Utilities,MG&E,292.84,Jan electric bill,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/ShDTSMm5osxLDGhI5Fil.png,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/fE7wJJSu1NmL68eWxxiQ.pdf
2,Q1,2/10/2025,Utilities,MG&E,328.54,Feb electric bill ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/H2T4h0VQrncWNSCTPcLc.png,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/itv28xdroeMKn34m1y61.pdf
3,Q1,3/13/2025,Utilities,MG&E,344.06,Mar electric bill ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/AC39RM6cjmoX9u8PxtJy.png,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/N4bmolay9VJSzY5L6HVY.pdf
4,Q2,4/10/2025,Utilities,MG&E,254.04,Apr electric bill ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/AKlt2TlHXkCbPlI0SbCT.png,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/m73JGTQSujtDl4Xx5Sd4.pdf
4,Q2,4/17/2025,Software,Remakable,2.99,Notebook app,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/IbuYt18fBw8qQQRu61x1.pdf
1,Q1,1/17/2025,Software,Remarkable ,2.99,Notebook app,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/GwgWHE150pt4iafLb6Na.pdf
2,Q1,2/17/2025,Software,Remakable,2.99,Notebook app,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/E7NnM5IxSANPkjIip811.pdf
3,Q1,3/17/2025,Software,Remarkable ,2.99,Notebook app,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/qR6luZOzE2INn7qD7fOB.pdf
2,Q1,2/24/2025,Software,Notion,57.45,Notion business subscription,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/I4uiihJxt9lNEzRFKwDG.pdf
3,Q1,3/30/2025,Office Supplies,HP,5.79,Instant ink subscription ,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/2aMCJWjImT3dk7tZ5oav.pdf
3,Q1,3/2/2025,Office Supplies,HP,1.57,Instant ink,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/24Ee7M64JdPd9RNsxtBp.pdf
1,Q1,1/30/2025,Office Supplies,HP,1.57,Instant ink,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/vwFuol718Yh3VaJu5BmJ.pdf
4,Q2,4/7/2025,Software,Google,1.99,Google storage,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/vRq6w0AalIaoQWnQEfGo.png,
4,Q2,4/18/2025,Software,Power Director,36.91,Video editing software,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/Ih9NVNxoJfnOTpGkfNBt.png,
1,Q1,1/23/2025,Software,YouTube,11.59,YouTube premium for downloading client videos,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/eHeVLEUpPLyolP9Wbxaf.png,
2,Q1,2/21/2025,Software,YouTube,11.59,YouTube premium for downloading client videos ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/WdH9qPF6PBGpomAS0mQK.png,
3,Q1,3/21/2025,Software,YouTube ,11.59,YouTube premium for downloading client videos ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/svES1r4yHvvKdI8tGYRU.png,
4,Q2,4/11/2025,Software,YouTube ,11.1,YouTube premium for downloading client videos ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/s3gcnUfkKxW2BBbLYphg.png,
5,Q2,5/7/2025,Software,Google,1.99,Google storage ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/jHIoyCBf0dKL0pzHXeCK.png,
5,Q2,5/9/2025,Software,Adobe,164.45,Adobe acrobat ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/tma5UqIxhvzqH8BNbMuY.png,
5,Q2,5/6/2025,Office Supplies,Amazon,139.54,Amazon Prime membership ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/06OyfLGFMfWfmK3uTsNi.png,
5,Q2,5/9/2025,Utilities,MG&E,226.78,May electric bill,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/UG3DxZhzT78T0ZK2JBzK.png,
5,Q2,5/14/2025,Meals,Green lantern,12.75,Team Women breakfast,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/1KK5ryCNGKaBiRBAUU8Z.jpg,
5,Q2,5/17/2025,Meals,Grace Coffee,26.46,Meeting with April,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/fZbCalXZLvzcYrMJGEJd.png,
5,Q2,5/22/2025,Repair & Maintenance,MadisonGreen Team,47.48,Lawn service,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/FPMGRLp5kyMRLOzEdjQn.pdf
5,Q2,5/24/2025,Utilities,Madison Municipal Services ,75.91,May water bill,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/Dx6Z8MYXgUfBxe1vWacP.png,
5,Q2,5/26/2025,Utilities,Spectrum ,51.11,May phone bill,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/UCp55NAQOsrukEnQHHtP/pub/ayjOVIfuztaiYwJxeMcz.png,
